# z u u_p F_integral F_diff k du_dz
0.000000000000000000e+00 2.561693094719100596e-06 2.561696520395968049e-06 0.000000000000000000e+00 0.000000000000000000e+00 1.999999999999999147e+02 0.000000000000000000e+00
5.000000000000000104e-03 2.561693094719100596e-06 2.561696514198121248e-06 1.795226483149134356e-02 1.196817641652984758e-02 1.999999996999999041e+02 -8.377723479004303350e-11
1.000000000000000021e-02 2.561692256946752696e-06 2.561696421230393395e-06 3.981475342046204152e-02 3.663907227934402877e-02 1.999999951999995744e+02 -2.564734998000434835e-10
1.499999999999999944e-02 2.561690529984102596e-06 2.561696018370263648e-06 6.993218518424326735e-02 6.699069631697278371e-02 1.999999757000004479e+02 -4.689348172432232422e-10
2.000000000000000042e-02 2.561687567598580264e-06 2.561694933747029814e-06 1.127319212816357830e-01 1.096105400395914753e-01 1.999999232000093912e+02 -7.672734856440445754e-10
2.500000000000000139e-02 2.561682857249246155e-06 2.561692646742364002e-06 1.725181393193446211e-01 1.690693211676744245e-01 1.999998125000584537e+02 -1.183484138656646658e-09
2.999999999999999889e-02 2.561675732757193697e-06 2.561688487991727591e-06 2.535589594609271025e-01 2.497125995667977827e-01 1.999996112002518771e+02 -1.747984798880730618e-09
3.500000000000000333e-02 2.561665377401257348e-06 2.561681639387293073e-06 3.601098139946340426e-01 3.558268935577946768e-01 1.999992797008643777e+02 -2.490779284341427722e-09
4.000000000000000083e-02 2.561650824964350283e-06 2.561671134083107563e-06 4.964215349387166021e-01 4.916780041329226747e-01 1.999987712025156554e+02 -3.441724882886147935e-09
4.499999999999999833e-02 2.561630960152428487e-06 2.561655856503583037e-06 6.667434490683541437e-01 6.615233753275756579e-01 1.999980317064562314e+02 -4.630618054766424876e-09
5.000000000000000278e-02 2.561604518783802619e-06 2.561634542356430096e-06 8.753245976128930517e-01 8.696168341114542955e-01 1.999970000149999123e+02 -6.087226529469144361e-09
5.500000000000000028e-02 2.561570087887133795e-06 2.561605778651360459e-06 1.126414205844131100e+00 1.120210605661368986e+00 1.999956077321529051e+02 -7.841302030353697826e-09
5.999999999999999778e-02 2.561526105763499082e-06 2.561568003726173882e-06 1.424261848422642585e+00 1.417556232815913697e+00 1.999937792644964816e+02 -9.922584991227894171e-09
6.500000000000000222e-02 2.561470862037221516e-06 2.561519507281821509e-06 1.773117495367220409e+00 1.765905020867872377e+00 1.999914318223582370e+02 -1.236080557549800189e-08
7.000000000000000666e-02 2.561402497707744102e-06 2.561458430428440843e-06 2.177231516476999751e+00 2.169508266655836071e+00 1.999884754213658766e+02 -1.518568277318927567e-08
7.499999999999999722e-02 2.561319005209489624e-06 2.561382765744360486e-06 2.640854676583932914e+00 2.632617387117084373e+00 1.999848128844296582e+02 -1.842692234456171866e-08
8.000000000000000167e-02 2.561218228484298484e-06 2.561290357350348079e-06 3.168238134217841395e+00 3.159484000498264056e+00 1.999803398442377329e+02 -2.211421394532261117e-08
8.500000000000000611e-02 2.561097863070036397e-06 2.561178901001543028e-06 3.763633448109168445e+00 3.754359985697904190e+00 1.999749447463487684e+02 -2.627722757442443977e-08
